user_id,archetype,archetype_name
u00182,low_engagement,Low-Engagement Users
u00183,operational_browsers,Operational Browsers
u00184,low_engagement,Low-Engagement Users
u00185,high_communicators,High Communicators
u00186,high_communicators,High Communicators
u00187,high_communicators,High Communicators
u00188,reactive_consumers,Reactive Consumers
u00189,reactive_consumers,Reactive Consumers
u00190,reactive_consumers,Reactive Consumers
u00191,operational_browsers,Operational Browsers
u00192,high_communicators,High Communicators
u00193,operational_browsers,Operational Browsers
u00194,reactive_consumers,Reactive Consumers
u00195,operational_browsers,Operational Browsers
u00196,high_communicators,High Communicators
u00197,reactive_consumers,Reactive Consumers
u00198,low_engagement,Low-Engagement Users
u00199,operational_browsers,Operational Browsers
u00200,low_engagement,Low-Engagement Users
u00201,operational_browsers,Operational Browsers
u00202,operational_browsers,Operational Browsers
u00203,reactive_consumers,Reactive Consumers
u00204,operational_browsers,Operational Browsers
u00205,high_communicators,High Communicators
u00206,low_engagement,Low-Engagement Users
u00207,low_engagement,Low-Engagement Users
u00208,low_engagement,Low-Engagement Users
u00209,high_communicators,High Communicators
u00210,reactive_consumers,Reactive Consumers
u00211,reactive_consumers,Reactive Consumers
u00212,reactive_consumers,Reactive Consumers
u00213,operational_browsers,Operational Browsers
u00214,low_engagement,Low-Engagement Users
u00215,reactive_consumers,Reactive Consumers
u00216,low_engagement,Low-Engagement Users
u00217,low_engagement,Low-Engagement Users
u00218,reactive_consumers,Reactive Consumers
u00219,low_engagement,Low-Engagement Users
u00220,low_engagement,Low-Engagement Users
u00221,reactive_consumers,Reactive Consumers
u00222,operational_browsers,Operational Browsers
u00223,operational_browsers,Operational Browsers
u00224,operational_browsers,Operational Browsers
u00225,high_communicators,High Communicators
u00226,operational_browsers,Operational Browsers
u00227,operational_browsers,Operational Browsers
u00228,low_engagement,Low-Engagement Users
u00229,low_engagement,Low-Engagement Users
u00230,reactive_consumers,Reactive Consumers
u00231,operational_browsers,Operational Browsers
u00232,low_engagement,Low-Engagement Users
u00233,low_engagement,Low-Engagement Users
u00234,reactive_consumers,Reactive Consumers
u00235,high_communicators,High Communicators
u00236,operational_browsers,Operational Browsers
u00237,reactive_consumers,Reactive Consumers
u00238,operational_browsers,Operational Browsers
u00239,low_engagement,Low-Engagement Users
u00240,reactive_consumers,Reactive Consumers
u00241,reactive_consumers,Reactive Consumers
u00242,operational_browsers,Operational Browsers
u00243,operational_browsers,Operational Browsers
u00244,reactive_consumers,Reactive Consumers
u00245,reactive_consumers,Reactive Consumers
u00246,reactive_consumers,Reactive Consumers
u00247,operational_browsers,Operational Browsers
u00248,low_engagement,Low-Engagement Users
u00249,reactive_consumers,Reactive Consumers
u00250,reactive_consumers,Reactive Consumers
u00251,operational_browsers,Operational Browsers
u00252,reactive_consumers,Reactive Consumers
u00253,reactive_consumers,Reactive Consumers
u00254,reactive_consumers,Reactive Consumers
u00255,operational_browsers,Operational Browsers
u00256,high_communicators,High Communicators
u00257,low_engagement,Low-Engagement Users
u00258,operational_browsers,Operational Browsers
u00259,reactive_consumers,Reactive Consumers
u00260,high_communicators,High Communicators
u00261,low_engagement,Low-Engagement Users
u00262,reactive_consumers,Reactive Consumers
u00263,reactive_consumers,Reactive Consumers
u00264,reactive_consumers,Reactive Consumers
u00265,high_communicators,High Communicators
u00266,low_engagement,Low-Engagement Users
u00267,reactive_consumers,Reactive Consumers
u00268,reactive_consumers,Reactive Consumers
u00269,low_engagement,Low-Engagement Users
u00270,operational_browsers,Operational Browsers
u00271,reactive_consumers,Reactive Consumers
u00272,operational_browsers,Operational Browsers
u00273,low_engagement,Low-Engagement Users
u00274,reactive_consumers,Reactive Consumers
u00275,operational_browsers,Operational Browsers
u00276,high_communicators,High Communicators
u00277,operational_browsers,Operational Browsers
u00278,low_engagement,Low-Engagement Users
u00279,low_engagement,Low-Engagement Users
u00280,operational_browsers,Operational Browsers
u00281,reactive_consumers,Reactive Consumers
u00282,high_communicators,High Communicators
u00283,operational_browsers,Operational Browsers
u00284,low_engagement,Low-Engagement Users
u00285,reactive_consumers,Reactive Consumers
u00286,reactive_consumers,Reactive Consumers
u00287,operational_browsers,Operational Browsers
u00288,operational_browsers,Operational Browsers
u00289,low_engagement,Low-Engagement Users
u00290,reactive_consumers,Reactive Consumers
u00291,reactive_consumers,Reactive Consumers
u00292,low_engagement,Low-Engagement Users
u00293,operational_browsers,Operational Browsers
u00294,operational_browsers,Operational Browsers
u00295,low_engagement,Low-Engagement Users
u00296,low_engagement,Low-Engagement Users
u00297,low_engagement,Low-Engagement Users
u00298,low_engagement,Low-Engagement Users
u00299,reactive_consumers,Reactive Consumers
u00300,operational_browsers,Operational Browsers
u00301,reactive_consumers,Reactive Consumers
u00302,low_engagement,Low-Engagement Users
u00303,low_engagement,Low-Engagement Users
u00304,operational_browsers,Operational Browsers
u00305,operational_browsers,Operational Browsers
u00306,reactive_consumers,Reactive Consumers
u00307,operational_browsers,Operational Browsers
u00308,high_communicators,High Communicators
u00309,low_engagement,Low-Engagement Users
u00310,operational_browsers,Operational Browsers
u00311,reactive_consumers,Reactive Consumers
u00312,operational_browsers,Operational Browsers
u00313,operational_browsers,Operational Browsers
u00314,reactive_consumers,Reactive Consumers
u00315,low_engagement,Low-Engagement Users
u00316,low_engagement,Low-Engagement Users
u00317,reactive_consumers,Reactive Consumers
u00318,reactive_consumers,Reactive Consumers
u00319,low_engagement,Low-Engagement Users
u00320,low_engagement,Low-Engagement Users
u00321,reactive_consumers,Reactive Consumers
u00322,operational_browsers,Operational Browsers
u00323,low_engagement,Low-Engagement Users
u00324,low_engagement,Low-Engagement Users
u00325,reactive_consumers,Reactive Consumers
u00326,high_communicators,High Communicators
u00327,low_engagement,Low-Engagement Users
u00328,reactive_consumers,Reactive Consumers
u00329,reactive_consumers,Reactive Consumers
u00330,operational_browsers,Operational Browsers
u00331,operational_browsers,Operational Browsers
u00332,low_engagement,Low-Engagement Users
u00333,reactive_consumers,Reactive Consumers
u00334,low_engagement,Low-Engagement Users
u00335,reactive_consumers,Reactive Consumers
u00336,low_engagement,Low-Engagement Users
u00337,high_communicators,High Communicators
u00338,operational_browsers,Operational Browsers
u00339,high_communicators,High Communicators
u00340,reactive_consumers,Reactive Consumers
u00341,reactive_consumers,Reactive Consumers
u00342,operational_browsers,Operational Browsers
u00343,operational_browsers,Operational Browsers
u00344,high_communicators,High Communicators
u00345,low_engagement,Low-Engagement Users
u00346,low_engagement,Low-Engagement Users
u00347,low_engagement,Low-Engagement Users
u00348,reactive_consumers,Reactive Consumers
u00349,reactive_consumers,Reactive Consumers
u00350,reactive_consumers,Reactive Consumers
u00351,reactive_consumers,Reactive Consumers
u00352,high_communicators,High Communicators
u00353,operational_browsers,Operational Browsers
u00354,reactive_consumers,Reactive Consumers
u00355,reactive_consumers,Reactive Consumers
u00356,low_engagement,Low-Engagement Users
u00357,operational_browsers,Operational Browsers
u00358,reactive_consumers,Reactive Consumers
u00359,operational_browsers,Operational Browsers
u00360,reactive_consumers,Reactive Consumers
u00361,operational_browsers,Operational Browsers
u00362,reactive_consumers,Reactive Consumers
u00363,operational_browsers,Operational Browsers
u00364,operational_browsers,Operational Browsers
u00365,operational_browsers,Operational Browsers
u00366,reactive_consumers,Reactive Consumers
u00367,low_engagement,Low-Engagement Users
u00368,low_engagement,Low-Engagement Users
u00369,reactive_consumers,Reactive Consumers
u00370,reactive_consumers,Reactive Consumers
u00371,reactive_consumers,Reactive Consumers
u00372,low_engagement,Low-Engagement Users
u00373,low_engagement,Low-Engagement Users
u00374,reactive_consumers,Reactive Consumers
u00375,low_engagement,Low-Engagement Users
u00376,reactive_consumers,Reactive Consumers
u00377,operational_browsers,Operational Browsers
u00378,operational_browsers,Operational Browsers
u00379,low_engagement,Low-Engagement Users
u00380,high_communicators,High Communicators
u00381,reactive_consumers,Reactive Consumers
u00382,operational_browsers,Operational Browsers
u00383,high_communicators,High Communicators
u00384,reactive_consumers,Reactive Consumers
u00385,operational_browsers,Operational Browsers
u00386,low_engagement,Low-Engagement Users
u00387,low_engagement,Low-Engagement Users
u00388,low_engagement,Low-Engagement Users
u00389,low_engagement,Low-Engagement Users
u00390,operational_browsers,Operational Browsers
u00391,low_engagement,Low-Engagement Users
u00392,operational_browsers,Operational Browsers
u00393,operational_browsers,Operational Browsers
u00394,reactive_consumers,Reactive Consumers
u00395,reactive_consumers,Reactive Consumers
u00396,low_engagement,Low-Engagement Users
u00397,reactive_consumers,Reactive Consumers
u00398,low_engagement,Low-Engagement Users
u00399,operational_browsers,Operational Browsers
