post_id,author_id,stream_id,created_at,has_video,mention_count,comment_count,like_count,comment_like_count
post000077,u00114,s008,2025-03-06T00:31:15,0,2,2,12,3
post000078,u00120,s004,2025-03-06T01:37:55,0,0,1,10,0
post000079,u00225,s009,2025-03-06T01:45:27,0,0,1,10,5
post000080,u00326,s001,2025-03-06T01:49:23,0,0,1,18,0
post000081,u00098,s005,2025-03-06T02:03:07,1,0,1,14,0
post000082,u00259,s000,2025-03-06T02:52:03,0,0,3,10,1
post000083,u00054,s011,2025-03-06T03:03:04,0,0,2,8,1
post000084,u00337,s006,2025-03-06T03:05:11,1,0,0,11,0
post000085,u00069,s004,2025-03-06T03:26:51,0,1,0,15,0
post000086,u00189,s005,2025-03-06T04:19:35,0,1,0,12,0
post000087,u00263,s003,2025-03-06T04:42:55,0,1,2,15,2
post000088,u00213,s000,2025-03-06T06:19:31,0,0,0,6,0
post000089,u00096,s007,2025-03-06T08:14:49,1,1,2,6,2
post000090,u00337,s011,2025-03-06T08:19:45,0,0,2,14,0
post000091,u00037,s011,2025-03-06T08:58:17,0,0,3,8,2
post000092,u00098,s005,2025-03-06T09:00:00,0,0,5,12,2
post000093,u00260,s010,2025-03-06T09:34:17,1,1,1,17,0
post000094,u00225,s009,2025-03-06T10:06:11,0,0,3,10,3
post000095,u00339,s007,2025-03-06T10:25:38,0,0,2,14,1
post000096,u00308,s002,2025-03-06T10:50:22,1,0,2,9,1
post000097,u00339,s004,2025-03-06T10:54:36,0,0,1,8,1
post000098,u00235,s006,2025-03-06T11:04:10,0,0,1,13,1
post000099,u00306,s007,2025-03-06T11:04:15,0,0,2,9,3
post000100,u00237,s004,2025-03-06T11:05:03,1,0,2,14,3
post000101,u00196,s010,2025-03-06T13:24:18,0,0,3,16,1
post000102,u00399,s003,2025-03-06T14:02:11,0,0,3,10,4
post000103,u00037,s011,2025-03-06T14:30:42,0,0,3,9,4
post000104,u00015,s011,2025-03-06T14:39:57,1,1,2,10,0
post000105,u00376,s005,2025-03-06T14:51:54,1,0,2,14,2
post000106,u00260,s004,2025-03-06T14:54:25,0,1,1,24,1
post000107,u00120,s009,2025-03-06T15:01:48,0,0,1,13,1
post000108,u00120,s010,2025-03-06T16:44:19,0,0,4,12,3
post000109,u00159,s008,2025-03-06T17:59:34,0,0,2,22,0
post000110,u00203,s006,2025-03-06T18:47:42,0,0,0,16,0
post000111,u00337,s006,2025-03-06T19:49:03,1,1,0,18,0
post000112,u00380,s007,2025-03-06T21:28:21,0,1,2,16,1
post000113,u00369,s011,2025-03-06T22:46:11,0,2,3,12,4
post000114,u00098,s005,2025-03-07T00:09:02,0,1,3,19,2
post000115,u00087,s010,2025-03-07T00:12:19,0,0,2,28,2
post000116,u00276,s006,2025-03-07T00:26:45,0,1,0,15,0
post000117,u00090,s011,2025-03-07T03:00:34,0,1,2,9,3
post000118,u00185,s010,2025-03-07T05:04:53,0,2,4,15,1
post000119,u00265,s007,2025-03-07T06:13:26,0,0,2,20,1
post000120,u00291,s001,2025-03-07T07:07:48,0,0,1,11,0
post000121,u00308,s003,2025-03-07T07:31:21,0,1,2,15,2
post000122,u00006,s006,2025-03-07T08:59:19,0,0,0,15,0
post000123,u00205,s011,2025-03-07T09:24:09,0,0,1,16,1
post000124,u00090,s001,2025-03-07T09:30:54,0,0,3,10,4
post000125,u00308,s002,2025-03-07T09:39:04,0,0,2,13,2
post000126,u00230,s006,2025-03-07T10:09:11,0,0,2,8,2
post000127,u00098,s011,2025-03-07T10:11:04,0,0,1,16,1
post000128,u00197,s008,2025-03-07T10:27:51,0,0,1,8,0
post000129,u00380,s004,2025-03-07T10:52:36,0,1,2,12,2
post000130,u00006,s011,2025-03-07T12:05:05,0,0,0,10,0
post000131,u00265,s002,2025-03-07T12:08:58,0,0,1,15,1
post000132,u00308,s003,2025-03-07T13:07:59,0,1,2,15,3
post000133,u00023,s010,2025-03-07T13:17:59,1,0,3,10,4
post000134,u00055,s005,2025-03-07T13:18:47,0,0,2,9,2
post000135,u00265,s001,2025-03-07T13:43:44,0,0,2,18,1
post000136,u00205,s007,2025-03-07T14:09:00,0,0,3,15,5
post000137,u00174,s010,2025-03-07T14:47:23,0,0,2,15,1
post000138,u00013,s006,2025-03-07T15:08:38,1,2,2,7,1
post000139,u00007,s011,2025-03-07T15:24:58,0,0,1,13,0
post000140,u00380,s004,2025-03-07T15:52:12,0,1,1,13,2
post000141,u00096,s005,2025-03-07T16:55:58,0,0,1,12,0
post000142,u00237,s004,2025-03-07T17:55:29,0,0,1,12,1
post000143,u00276,s006,2025-03-07T18:13:48,0,0,0,18,0
post000144,u00052,s004,2025-03-07T18:26:59,0,0,1,13,0
post000145,u00282,s006,2025-03-07T21:45:33,0,0,1,14,0
post000146,u00352,s006,2025-03-07T22:48:06,1,0,2,22,0
post000147,u00023,s009,2025-03-08T02:30:41,0,1,0,14,0
post000148,u00032,s009,2025-03-08T02:34:43,0,0,1,12,1
post000149,u00174,s010,2025-03-08T05:45:26,0,0,0,11,0
post000150,u00357,s007,2025-03-08T07:18:22,0,0,1,18,0
post000151,u00397,s001,2025-03-08T08:26:27,0,0,4,10,4
post000152,u00099,s008,2025-03-08T09:06:00,0,0,1,15,1
post000153,u00209,s008,2025-03-08T10:06:45,0,0,1,13,0
post000154,u00282,s004,2025-03-08T10:37:45,0,0,3,18,3
post000155,u00108,s004,2025-03-08T22:33:13,0,2,1,9,2
post000156,u00197,s010,2025-03-09T00:00:09,1,0,1,11,0
post000157,u00096,s010,2025-03-09T00:12:28,0,0,0,12,0
post000158,u00159,s008,2025-03-09T00:12:59,0,1,2,10,2
post000159,u00006,s011,2025-03-09T02:51:14,0,0,0,10,0
post000160,u00087,s008,2025-03-09T03:09:51,0,0,6,10,5
post000161,u00283,s011,2025-03-09T05:04:55,1,1,2,9,1
post000162,u00023,s006,2025-03-09T07:22:15,0,1,2,20,3
post000163,u00185,s004,2025-03-09T08:40:59,1,1,3,11,0
post000164,u00006,s006,2025-03-09T08:51:02,0,1,1,9,1
post000165,u00235,s011,2025-03-09T09:03:00,0,0,0,12,0
post000166,u00234,s004,2025-03-09T11:11:29,0,0,1,11,0
post000167,u00374,s004,2025-03-09T11:26:19,0,0,2,16,4
post000168,u00205,s010,2025-03-09T12:40:04,0,1,0,9,0
post000169,u00114,s005,2025-03-09T14:06:46,0,0,2,12,2
post000170,u00096,s010,2025-03-09T14:45:50,0,1,2,11,1
post000171,u00330,s010,2025-03-09T19:29:07,1,1,1,7,1
post000172,u00046,s003,2025-03-10T00:26:11,1,0,0,8,0
post000173,u00326,s007,2025-03-10T01:05:15,0,1,1,6,1
post000174,u00265,s007,2025-03-10T01:46:30,0,0,1,8,0
post000175,u00032,s006,2025-03-10T01:55:14,0,0,1,11,0
post000176,u00197,s004,2025-03-10T02:31:11,1,0,2,9,1
post000177,u00268,s004,2025-03-10T03:50:09,0,0,1,7,0
post000178,u00339,s004,2025-03-10T04:12:07,0,0,3,9,2
post000179,u00096,s007,2025-03-10T04:43:44,0,0,1,12,2
post000180,u00276,s006,2025-03-10T04:56:03,0,2,1,12,0
post000181,u00120,s009,2025-03-10T06:13:59,0,0,1,16,3
post000182,u00159,s004,2025-03-10T06:39:42,0,2,0,15,0
post000183,u00268,s008,2025-03-10T06:50:39,0,1,4,11,5
post000184,u00120,s004,2025-03-10T08:27:12,0,1,2,11,3
post000185,u00129,s005,2025-03-10T08:46:27,0,1,1,6,0
post000186,u00185,s004,2025-03-10T09:41:58,0,0,1,12,2
post000187,u00052,s008,2025-03-10T10:01:06,0,0,2,8,1
post000188,u00006,s004,2025-03-10T10:20:42,0,0,1,9,0
post000189,u00098,s011,2025-03-10T10:34:45,1,0,2,16,2
post000190,u00259,s005,2025-03-10T10:58:28,0,0,1,8,1
post000191,u00031,s004,2025-03-10T11:29:21,0,0,2,11,1
post000192,u00048,s000,2025-03-10T12:17:10,0,1,1,13,1
post000193,u00349,s004,2025-03-10T13:39:38,1,0,2,12,1
post000194,u00037,s011,2025-03-10T14:17:26,0,0,1,11,2
post000195,u00339,s010,2025-03-10T14:42:10,0,0,0,11,0
post000196,u00197,s006,2025-03-10T14:52:36,1,1,1,8,0
post000197,u00067,s005,2025-03-10T14:53:32,1,1,1,12,0
post000198,u00349,s008,2025-03-10T15:08:43,0,0,2,12,0
post000199,u00384,s011,2025-03-10T15:47:29,0,0,5,14,2
post000200,u00196,s009,2025-03-10T16:00:32,0,0,2,11,1
post000201,u00383,s008,2025-03-10T16:09:04,0,1,0,19,0
post000202,u00006,s006,2025-03-10T16:47:43,0,0,1,9,1
post000203,u00225,s004,2025-03-10T17:07:01,0,1,0,16,0
post000204,u00192,s011,2025-03-10T17:33:12,0,0,3,13,2
post000205,u00185,s010,2025-03-10T18:26:55,0,1,1,6,2
post000206,u00133,s004,2025-03-10T20:18:09,0,0,1,11,0
post000207,u00256,s003,2025-03-11T00:10:34,0,0,1,12,0
post000208,u00006,s006,2025-03-11T00:20:27,0,0,1,16,1
post000209,u00282,s010,2025-03-11T02:04:58,0,1,1,14,0
post000210,u00006,s006,2025-03-11T04:18:36,0,0,5,6,1
post000211,u00304,s009,2025-03-11T04:54:48,0,1,1,16,0
post000212,u00187,s005,2025-03-11T05:40:27,1,1,3,14,3
post000213,u00060,s011,2025-03-11T06:13:13,1,0,3,14,1
post000214,u00114,s004,2025-03-11T07:33:56,0,2,2,12,1
post000215,u00265,s008,2025-03-11T08:08:18,0,0,4,17,2
post000216,u00209,s006,2025-03-11T08:25:03,0,0,1,13,1
post000217,u00196,s004,2025-03-11T08:37:46,1,0,4,11,7
post000218,u00380,s010,2025-03-11T08:38:07,1,0,1,15,4
post000219,u00196,s009,2025-03-11T08:48:08,0,1,1,14,0
post000220,u00006,s006,2025-03-11T09:22:08,1,0,1,17,0
post000221,u00154,s011,2025-03-11T09:26:49,0,0,1,9,1
post000222,u00185,s004,2025-03-11T10:19:12,0,1,2,13,0
post000223,u00308,s000,2025-03-11T10:28:03,0,0,1,15,2
post000224,u00080,s005,2025-03-11T10:31:15,0,2,2,14,0
post000225,u00211,s010,2025-03-11T10:40:05,0,0,2,13,2
post000226,u00146,s008,2025-03-11T10:51:24,0,1,3,5,4
post000227,u00196,s009,2025-03-11T11:32:10,1,0,1,11,0
post000228,u00344,s004,2025-03-11T11:50:03,0,0,3,15,1
post000229,u00294,s007,2025-03-11T12:04:01,0,1,1,8,1
post000230,u00337,s007,2025-03-11T12:51:04,0,0,2,17,1
post000231,u00196,s005,2025-03-11T14:12:54,0,0,3,11,1
post000232,u00159,s010,2025-03-11T14:37:52,0,1,3,14,3
post000233,u00185,s010,2025-03-11T15:00:41,0,0,1,16,0
post000234,u00235,s006,2025-03-11T15:18:08,1,0,2,15,2
post000235,u00211,s004,2025-03-11T15:26:02,0,0,4,10,6
post000236,u00276,s006,2025-03-11T15:45:33,0,2,1,12,1
post000237,u00128,s011,2025-03-11T16:05:47,1,1,2,15,5
post000238,u00344,s010,2025-03-11T16:38:52,0,1,2,15,0
post000239,u00326,s003,2025-03-11T16:52:36,0,0,0,13,0
post000240,u00185,s004,2025-03-11T18:55:00,0,1,0,13,0
post000241,u00046,s003,2025-03-11T20:41:46,0,1,3,14,2
post000242,u00317,s010,2025-03-11T20:54:16,0,1,3,13,1
post000243,u00098,s005,2025-03-11T21:49:42,1,0,3,20,1
post000244,u00120,s009,2025-03-11T23:47:13,0,0,1,27,0
post000245,u00037,s005,2025-03-12T03:45:00,0,2,3,10,2
post000246,u00159,s004,2025-03-12T05:49:50,0,0,0,9,0
post000247,u00235,s010,2025-03-12T07:42:25,0,1,0,17,0
post000248,u00308,s001,2025-03-12T08:14:10,0,0,2,10,1
post000249,u00006,s004,2025-03-12T08:39:47,0,1,1,13,1
post000250,u00168,s005,2025-03-12T09:06:41,0,2,5,12,6
post000251,u00006,s004,2025-03-12T10:16:02,0,1,1,17,1
post000252,u00387,s006,2025-03-12T10:19:28,0,0,1,21,1
post000253,u00052,s008,2025-03-12T10:22:44,0,0,2,17,0
post000254,u00352,s010,2025-03-12T10:29:59,1,0,0,14,0
post000255,u00382,s004,2025-03-12T11:02:09,0,0,2,20,2
post000256,u00195,s006,2025-03-12T11:07:50,0,0,0,19,0
post000257,u00265,s001,2025-03-12T11:24:20,0,1,3,16,2
post000258,u00187,s010,2025-03-12T13:01:57,1,0,3,10,1
post000259,u00023,s009,2025-03-12T13:17:30,0,1,2,11,3
post000260,u00196,s004,2025-03-12T13:36:15,0,0,0,19,0
post000261,u00159,s006,2025-03-12T14:35:46,0,1,2,13,1
post000262,u00381,s006,2025-03-12T15:54:28,0,0,3,17,4
post000263,u00185,s010,2025-03-12T18:53:27,1,1,3,14,2
post000264,u00090,s006,2025-03-12T20:20:23,0,1,3,11,1
post000265,u00061,s009,2025-03-13T00:23:11,1,1,4,18,3
post000266,u00067,s005,2025-03-13T00:34:43,1,0,2,17,1
post000267,u00032,s005,2025-03-13T01:01:09,0,1,3,17,1
post000268,u00024,s010,2025-03-13T01:41:40,0,1,0,18,0
post000269,u00308,s000,2025-03-13T02:24:45,0,0,3,11,3
post000270,u00185,s004,2025-03-13T02:55:29,0,0,0,20,0
post000271,u00221,s005,2025-03-13T03:29:07,0,0,4,24,1
post000272,u00260,s005,2025-03-13T05:03:42,0,0,2,18,1
post000273,u00098,s010,2025-03-13T08:13:31,0,0,1,18,0
post000274,u00046,s000,2025-03-13T08:15:15,0,1,1,19,1
post000275,u00235,s005,2025-03-13T08:39:55,0,2,4,16,3
post000276,u00118,s010,2025-03-13T09:41:12,0,0,1,13,0
post000277,u00225,s007,2025-03-13T09:52:54,0,1,1,22,2
post000278,u00308,s002,2025-03-13T10:13:12,0,1,0,20,0
post000279,u00221,s011,2025-03-13T10:14:21,0,1,2,16,1
post000280,u00185,s004,2025-03-13T10:21:28,0,0,4,18,3
post000281,u00163,s006,2025-03-13T10:34:17,0,0,3,12,3
post000282,u00006,s004,2025-03-13T10:56:48,0,1,3,11,1
post000283,u00192,s011,2025-03-13T11:20:27,0,0,1,12,3
post000284,u00011,s007,2025-03-13T11:54:22,0,0,1,18,1
post000285,u00023,s006,2025-03-13T12:08:59,0,0,1,17,1
post000286,u00174,s008,2025-03-13T12:44:27,1,0,4,14,4
post000287,u00205,s011,2025-03-13T13:02:44,0,2,1,23,0
post000288,u00265,s001,2025-03-13T13:53:09,1,0,1,17,1
post000289,u00120,s009,2025-03-13T15:56:56,0,0,0,14,0
post000290,u00326,s003,2025-03-13T18:15:49,0,1,1,12,0
post000291,u00260,s008,2025-03-13T18:18:20,0,0,5,25,5
post000292,u00192,s005,2025-03-13T18:29:45,0,0,1,18,0
post000293,u00032,s005,2025-03-13T19:16:45,0,0,4,13,4
post000294,u00023,s004,2025-03-13T19:45:12,0,0,2,21,2
post000295,u00225,s007,2025-03-13T19:46:58,0,0,0,11,0
post000296,u00192,s005,2025-03-13T20:24:45,0,0,3,16,3
post000297,u00174,s008,2025-03-13T21:44:03,0,1,6,26,2
post000298,u00146,s008,2025-03-13T21:59:43,1,0,2,16,0
post000299,u00276,s006,2025-03-14T00:50:19,1,0,2,14,1
post000300,u00211,s006,2025-03-14T02:53:16,1,0,3,17,4
post000301,u00192,s005,2025-03-14T07:40:28,1,1,2,16,1
post000302,u00256,s000,2025-03-14T08:06:32,0,1,1,16,0
post000303,u00196,s009,2025-03-14T08:59:58,1,0,0,12,0
post000304,u00225,s009,2025-03-14T09:27:17,0,0,5,21,6
post000305,u00209,s010,2025-03-14T10:27:03,0,0,2,21,0
post000306,u00265,s007,2025-03-14T10:41:03,0,1,2,22,0
post000307,u00128,s010,2025-03-14T10:58:30,0,0,4,14,5
post000308,u00308,s002,2025-03-14T11:08:45,0,2,0,20,0
post000309,u00103,s007,2025-03-14T11:25:36,1,0,3,12,2
post000310,u00166,s008,2025-03-14T11:32:33,0,1,0,19,0
post000311,u00256,s000,2025-03-14T11:51:45,0,0,1,16,0
post000312,u00174,s004,2025-03-14T12:12:04,1,1,2,16,0
post000313,u00344,s007,2025-03-14T12:39:36,0,0,1,19,1
post000314,u00231,s004,2025-03-14T14:31:42,1,1,0,14,0
post000315,u00276,s006,2025-03-14T15:50:51,0,1,2,15,0
post000316,u00096,s010,2025-03-14T16:22:52,1,1,2,15,2
post000317,u00352,s010,2025-03-14T20:12:28,0,1,1,12,0
post000318,u00046,s007,2025-03-14T23:49:16,0,0,2,15,1
post000319,u00209,s010,2025-03-15T01:55:06,0,2,3,17,0
post000320,u00235,s011,2025-03-15T05:20:12,0,0,2,11,1
post000321,u00249,s010,2025-03-15T05:51:36,0,0,2,10,1
post000322,u00260,s004,2025-03-15T06:27:19,0,0,2,19,2
post000323,u00003,s002,2025-03-15T08:43:52,0,1,2,9,2
post000324,u00209,s006,2025-03-15T10:21:02,1,2,1,8,1
post000325,u00383,s004,2025-03-15T10:33:50,0,0,3,17,1
post000326,u00260,s008,2025-03-15T10:45:00,0,0,0,17,0
post000327,u00098,s005,2025-03-15T12:11:44,0,1,5,10,7
post000328,u00380,s004,2025-03-15T12:47:39,0,1,0,11,0
post000329,u00174,s008,2025-03-15T13:43:49,0,1,3,13,1
post000330,u00098,s010,2025-03-15T15:09:22,0,0,1,12,3
post000331,u00098,s005,2025-03-15T15:32:55,0,0,1,18,0
post000332,u00209,s006,2025-03-15T17:22:57,0,0,3,21,1
post000333,u00174,s004,2025-03-15T17:45:47,0,2,2,20,1
post000334,u00260,s011,2025-03-15T20:39:10,0,0,1,19,0
post000335,u00120,s010,2025-03-15T20:50:33,1,0,4,14,4
post000336,u00230,s011,2025-03-15T23:41:53,0,0,1,14,0
post000337,u00051,s008,2025-03-16T02:40:06,1,1,0,11,0
post000338,u00174,s010,2025-03-16T05:35:56,1,1,2,14,4
post000339,u00372,s004,2025-03-16T08:54:38,0,0,0,17,0
post000340,u00339,s007,2025-03-16T09:27:56,0,1,0,15,0
post000341,u00352,s010,2025-03-16T11:04:44,0,1,3,17,2
post000342,u00174,s010,2025-03-16T11:24:58,0,2,2,14,4
post000343,u00276,s006,2025-03-16T12:20:18,0,1,3,16,1
post000344,u00235,s005,2025-03-16T12:56:15,1,0,0,18,0
post000345,u00051,s007,2025-03-16T14:15:49,0,0,4,9,2
post000346,u00276,s006,2025-03-16T14:36:06,0,0,1,14,0
post000347,u00224,s005,2025-03-16T15:09:27,0,0,0,11,0
post000348,u00096,s005,2025-03-16T15:25:53,0,0,1,11,0
post000349,u00235,s008,2025-03-16T15:38:14,1,1,1,16,1
post000350,u00048,s001,2025-03-16T17:59:00,0,0,0,9,0
post000351,u00187,s005,2025-03-16T18:46:38,1,0,0,13,0
post000352,u00187,s011,2025-03-16T19:38:58,0,0,2,8,0
post000353,u00235,s011,2025-03-16T20:58:32,0,0,0,14,0
post000354,u00046,s007,2025-03-17T02:38:29,0,0,1,14,0
post000355,u00117,s003,2025-03-17T04:28:34,1,1,2,8,1
post000356,u00114,s008,2025-03-17T04:52:52,1,0,0,17,0
post000357,u00352,s011,2025-03-17T08:07:13,0,0,2,13,3
post000358,u00354,s010,2025-03-17T09:20:21,0,1,1,13,0
post000359,u00114,s004,2025-03-17T09:28:01,0,1,1,11,1
post000360,u00205,s010,2025-03-17T11:05:22,0,1,0,13,0
post000361,u00042,s004,2025-03-17T12:37:41,0,1,1,17,2
post000362,u00096,s005,2025-03-17T13:45:01,1,0,5,17,4
post000363,u00159,s006,2025-03-17T16:26:47,0,0,3,7,1
post000364,u00282,s006,2025-03-17T16:41:47,0,2,3,9,4
post000365,u00159,s004,2025-03-17T16:43:14,0,0,3,13,6
post000366,u00267,s010,2025-03-17T17:55:35,0,2,2,12,3
post000367,u00032,s011,2025-03-17T20:04:38,1,0,1,13,0
post000368,u00006,s011,2025-03-17T22:56:50,0,1,1,14,0
post000369,u00321,s008,2025-03-17T23:45:03,0,0,1,18,4
post000370,u00360,s011,2025-03-18T02:09:10,0,0,2,17,3
post000371,u00102,s010,2025-03-18T02:29:43,0,0,3,10,2
post000372,u00185,s004,2025-03-18T03:04:11,0,1,0,7,0
post000373,u00096,s007,2025-03-18T03:27:13,0,0,4,9,4
post000374,u00096,s004,2025-03-18T04:11:36,0,0,2,14,0
post000375,u00146,s006,2025-03-18T05:18:01,0,0,2,11,2
post000376,u00263,s008,2025-03-18T05:27:58,0,0,3,7,4
post000377,u00265,s003,2025-03-18T06:23:46,0,0,1,15,0
post000378,u00352,s010,2025-03-18T06:45:06,1,1,1,15,1
post000379,u00052,s005,2025-03-18T08:26:15,0,0,1,6,0
post000380,u00308,s006,2025-03-18T08:26:39,0,2,1,13,1
post000381,u00199,s010,2025-03-18T09:01:32,0,1,4,10,2
post000382,u00341,s004,2025-03-18T09:22:42,0,0,0,10,0
post000383,u00146,s006,2025-03-18T09:27:16,0,0,0,8,0
post000384,u00195,s006,2025-03-18T10:14:45,0,0,3,14,3
post000385,u00339,s004,2025-03-18T10:26:13,1,2,0,19,0
post000386,u00352,s005,2025-03-18T12:03:20,0,0,2,16,4
post000387,u00003,s002,2025-03-18T12:46:07,1,0,0,13,0
post000388,u00129,s005,2025-03-18T12:51:10,0,1,2,12,2
post000389,u00339,s009,2025-03-18T12:57:43,0,0,0,6,0
post000390,u00037,s005,2025-03-18T12:58:42,0,0,0,6,0
post000391,u00326,s008,2025-03-18T13:02:24,0,1,3,10,4
post000392,u00265,s008,2025-03-18T13:33:36,0,1,3,9,2
post000393,u00339,s004,2025-03-18T13:38:23,0,2,1,14,1
post000394,u00175,s008,2025-03-18T14:06:43,0,0,3,17,2
post000395,u00096,s005,2025-03-18T14:37:10,0,0,1,9,0
post000396,u00235,s008,2025-03-18T14:41:19,0,0,4,9,3
post000397,u00114,s004,2025-03-18T15:02:16,0,0,1,11,1
post000398,u00037,s005,2025-03-18T15:39:44,1,0,0,9,0
post000399,u00020,s004,2025-03-18T16:43:49,0,0,1,19,1
post000400,u00256,s000,2025-03-18T16:44:11,0,1,1,14,0
post000401,u00339,s007,2025-03-18T16:54:04,0,1,3,14,3
post000402,u00097,s000,2025-03-18T17:54:06,0,0,0,16,0
post000403,u00339,s009,2025-03-18T18:02:33,0,0,2,12,1
post000404,u00103,s004,2025-03-18T19:08:47,1,1,2,14,2
post000405,u00289,s010,2025-03-18T19:27:31,0,1,4,17,5
post000406,u00380,s007,2025-03-18T19:42:09,0,0,0,13,0
post000407,u00268,s010,2025-03-18T19:50:37,0,0,1,13,1
post000408,u00209,s010,2025-03-18T20:47:06,0,0,0,11,0
post000409,u00159,s008,2025-03-18T22:32:06,0,0,1,13,3
